model,seed,parameters,seconds_including_validation,best_epoch,peak_allocated_GiB,device
mult,17,1072954,98.15387189993635,5,1.568387508392334,cuda:0
mult,29,1072954,80.56864491524175,3,1.568387508392334,cuda:0
mult,43,1072954,81.26790407020599,3,1.568387508392334,cuda:0
emt_dlfr,17,1131394,130.2019406897016,13,1.6851730346679688,cuda:2
emt_dlfr,29,1131394,122.32597609702498,12,1.6851730346679688,cuda:2
emt_dlfr,43,1131394,136.45005410071462,14,1.6851730346679688,cuda:2
emt_no_restore,17,1131394,84.45181943010539,8,1.5406455993652344,cuda:2
emt_no_restore,29,1131394,67.95102641591802,6,1.5406455993652344,cuda:2
emt_no_restore,43,1131394,98.53155319625512,11,1.5406455993652344,cuda:2
