model,n_seeds,clean_accuracy_mean,clean_accuracy_std,clean_macro_f1_mean,clean_macro_f1_std,clean_mae_mean,clean_mae_std,clean_pearson_mean,clean_pearson_std,selection_accuracy_mean,selection_accuracy_std,selection_macro_f1_mean,selection_macro_f1_std,selection_mae_mean,selection_mae_std,selection_pearson_mean,selection_pearson_std,grid27_accuracy_mean,grid27_accuracy_std,grid27_macro_f1_mean,grid27_macro_f1_std,grid27_mae_mean,grid27_mae_std,grid27_pearson_mean,grid27_pearson_std
mlp,3,0.5842490842490843,0.005551444896054075,0.5415841002047883,0.014053132722132761,0.6668548782666525,0.002547299487273489,0.5411363871502456,0.0008767954830045065,0.5796703296703297,0.005957881721462022,0.5392003032511941,0.009233893136013386,0.6724305152893066,0.0022917641129449446,0.5316315379205171,0.0014792062329777279,0.5761599511599512,0.006778229488451887,0.5362163678085325,0.011556665251248079,0.6751283900237377,0.0025714768327117043,0.5274325909314658,0.0014018843739603056
state_aug,3,0.5856227106227107,0.004196497889153685,0.536598917821391,0.007221097292257371,0.6619138717651367,0.005314283518095117,0.5486890239371535,0.00683283170752745,0.5737179487179488,0.005810915817993198,0.5275694079910145,0.007562729491966205,0.671595091621081,0.006259569215075599,0.5320507748849058,0.008907429678179316,0.5728021978021977,0.006602593816851208,0.5272241261555068,0.006713338878946492,0.6747788190841675,0.006733034881109393,0.5276793755459642,0.009232714554488361
mult,3,0.5792124542124542,0.006344508452633291,0.5320625625037093,0.00914655172380398,0.6864237387975057,0.014797671325962073,0.5211615073362101,0.01349363961234585,0.5755494505494506,0.004302872282328907,0.5307171192682288,0.007070219319700868,0.6915912429491679,0.014374507426026294,0.5108340038297543,0.013426345929335635,0.5719373219373219,0.00256452648781608,0.5268604505516983,0.0049508317445115515,0.6929732141671358,0.01273510678761976,0.5082848811923225,0.011998037827628328
emt_dlfr,3,0.5705128205128205,0.014297156589739934,0.5461179893103257,0.014924565300905093,0.6518695950508118,0.017856707926930365,0.5381164011469407,0.0358478334990672,0.5665064102564102,0.014977934887370807,0.5411525016231385,0.015075835377153587,0.658440296848615,0.019726859528661923,0.525440246035144,0.04054793720036125,0.5646282729616062,0.010982924710288168,0.5386631818930429,0.011258775218926553,0.6594041298936916,0.017430824114421033,0.5246026954408851,0.035076186965216576
emt_no_restore,3,0.5787545787545788,0.004196497889153745,0.5487077015988778,0.00520543835049943,0.6507481733957926,0.025135723526471466,0.5410954071477801,0.03417770537167972,0.571771978021978,0.0062098699587998666,0.5382356435262429,0.004087455816493673,0.658564974864324,0.026153916773913995,0.5272833563038031,0.03697064215091693,0.5687491520824853,0.00703849173462541,0.531498771362156,0.006253623825593486,0.6612503911242072,0.02556408678483155,0.525655803035732,0.03362812279156479
