method,scope,accuracy,macro_f1,mae,pearson
original_mlp_ensemble,clean,0.5824175824175825,0.5402719555255052,0.6588125824928284,0.5474169687415222
original_mlp_ensemble,selection,0.5813873626373627,0.5409002027036521,0.6643716841936111,0.5380553334887764
original_mlp_ensemble,grid27,0.5792124542124542,0.5394302774103689,0.6669168825502749,0.5338241747957287
pooled_linear,clean,0.5563186813186813,0.539645589625402,0.6809169225877836,0.49794818598964186
pooled_linear,selection,0.5525412087912088,0.5350992864249183,0.6858792296253018,0.4887193320088679
pooled_linear,grid27,0.5528591778591779,0.5363588640935104,0.687908358114264,0.48622977347957186
lexical_multimodal_linear,clean,0.5673076923076923,0.5410654201205759,0.6797857880592346,0.5179776861392883
lexical_multimodal_linear,selection,0.5590659340659341,0.5310695269467425,0.6851812303066254,0.5109034356531023
lexical_multimodal_linear,grid27,0.559981684981685,0.5338558745796439,0.6882180505328708,0.5046467413138506
