run,epoch,train_loss,selection_macro_f1,selection_mae,clean_macro_f1,elapsed_seconds
gru_aug_seed17,1,1.4850387109650507,0.37557174392537745,0.7164208889007568,0.3834023313813158,2.073289394378662
gru_aug_seed17,2,1.2916105643466667,0.4252047829168057,0.6886056214570999,0.433155609597256,4.201980352401733
gru_aug_seed17,3,1.2363175286187067,0.5006499936510171,0.6784755885601044,0.5087890630956745,6.364128351211548
gru_aug_seed17,4,1.2014392172848736,0.5089601275570411,0.6723885834217072,0.5195906432748538,8.310721635818481
gru_aug_seed17,5,1.162370980889709,0.5062114390739119,0.6740926951169968,0.5128076774240943,10.182132244110107
gru_aug_seed17,6,1.1348627104803368,0.5116373153506326,0.6717172414064407,0.5209765724471607,12.048069715499878
gru_aug_seed17,7,1.119556638929579,0.5192374363414897,0.6832225769758224,0.5208003024347492,13.942423820495605
gru_aug_seed17,8,1.1015047155044697,0.5352953058085534,0.6672894805669785,0.5484905041455993,15.809582710266113
gru_aug_seed17,9,1.0987350355695795,0.48812644857150855,0.6835403591394424,0.49409798827006157,17.67297863960266
gru_aug_seed17,10,1.0723495637928997,0.5066905517292778,0.6949555575847626,0.5121984264883996,19.747171640396118
gru_aug_seed17,11,1.050097206124553,0.48337592610469454,0.6881958395242691,0.48971774271414353,21.980919122695923
gru_aug_seed17,12,1.0441132728700284,0.5131769416761819,0.6775006800889969,0.5165181767199661,24.077295303344727
gru_aug_seed17,13,1.0113996907516762,0.5344240056413432,0.6804550737142563,0.5447737337416857,25.975015878677368
gru_aug_seed17,14,0.9953567970682073,0.5067712497241474,0.6790071427822113,0.5069628549132905,27.941996812820435
gru_aug_seed29,1,1.49013176229265,0.3978140250096295,0.719136580824852,0.4035775971979659,1.9040818214416504
gru_aug_seed29,2,1.2905181646347046,0.4215435088776866,0.6815986037254333,0.42390564892562566,3.772909164428711
gru_aug_seed29,3,1.224569316263552,0.43958465978424727,0.6714131534099579,0.439186801238623,5.715831279754639
gru_aug_seed29,4,1.1960917313893635,0.49052045830271906,0.673991397023201,0.4986965406858303,7.6556196212768555
gru_aug_seed29,5,1.1700214666348916,0.527636580182747,0.6691109538078308,0.5255038072110132,9.540984630584717
gru_aug_seed29,6,1.1555404078077387,0.5217811061107859,0.6771451085805893,0.5330687622861535,11.507098197937012
gru_aug_seed29,7,1.1279205757158774,0.4910965143043628,0.6925622373819351,0.4912493041203015,13.378032684326172
gru_aug_seed29,8,1.1207918259832594,0.5210538441273933,0.6754507422447205,0.5295742753623188,15.33501386642456
gru_aug_seed29,9,1.0884311276453513,0.5063468208753639,0.6860123574733734,0.5120339291454518,17.47113537788391
gru_aug_seed29,10,1.0859569255952481,0.5065309023513385,0.6947337090969086,0.5181935202105529,19.61443042755127
gru_aug_seed29,11,1.0570649846836373,0.4895278659298151,0.6892733722925186,0.48976093730192094,21.785488843917847
gru_aug_seed43,1,1.4485087637548093,0.40348438772770967,0.703583687543869,0.4026328292754204,1.900904655456543
gru_aug_seed43,2,1.2865935917253848,0.4494919747161529,0.6782135367393494,0.45414724468582346,3.7971694469451904
gru_aug_seed43,3,1.2284954168178417,0.4960734163225647,0.6787753701210022,0.500438687871843,5.776853561401367
gru_aug_seed43,4,1.2040219174491034,0.5142130902464829,0.6673517376184464,0.5183732106110143,7.697935104370117
gru_aug_seed43,5,1.165486212129946,0.5226249510790493,0.658805325627327,0.5328138365259137,9.694015979766846
gru_aug_seed43,6,1.1285498992160514,0.5221191542647443,0.6656533479690552,0.5260202444502785,11.693928480148315
gru_aug_seed43,7,1.105078465408749,0.49143268533339984,0.7041356414556503,0.4894324342680283,13.754077434539795
gru_aug_seed43,8,1.103428112135993,0.5041407838663428,0.6791561990976334,0.5097362810350303,15.779346942901611
gru_aug_seed43,9,1.068432625245165,0.5023357423986236,0.6694476157426834,0.49992204074419905,17.894763946533203
gru_aug_seed43,10,1.0475895294436701,0.49833163632053645,0.6762728542089462,0.5001632771408436,19.919950246810913
gru_aug_seed43,11,1.032179026692002,0.5047653549724819,0.6787039637565613,0.5014507479036856,21.81314754486084
gru_clean_seed17,1,1.4753124934655648,0.3723251114571931,0.7155333459377289,0.37813813519127293,2.7009336948394775
gru_clean_seed17,2,1.265859373189785,0.4398608504055665,0.6890192329883575,0.44561636698542406,4.536212921142578
gru_clean_seed17,3,1.205732774955255,0.5110453465911098,0.6765434294939041,0.5188984996118418,6.637104034423828
