true,predicted,count,recall_fraction
0,0,125,0.6067961165048543
0,1,26,0.1262135922330097
0,2,55,0.2669902912621359
1,0,41,0.22282608695652173
1,1,55,0.29891304347826086
1,2,88,0.4782608695652174
2,0,53,0.15680473372781065
2,1,41,0.12130177514792899
2,2,244,0.7218934911242604
