polarity,precision,recall,f1,support
0,0.5707762557077626,0.6067961165048543,0.5882352941176471,206
1,0.45081967213114754,0.29891304347826086,0.35947712418300654,184
2,0.6304909560723514,0.7218934911242604,0.6731034482758621,338
