polarity,false_positive_rate,true_positive_rate
0,0.0,0.0
0,0.0,0.0048543689320388345
0,0.0038314176245210726,0.0048543689320388345
0,0.0038314176245210726,0.07766990291262135
0,0.005747126436781609,0.07766990291262135
0,0.005747126436781609,0.08737864077669903
0,0.009578544061302681,0.08737864077669903
0,0.009578544061302681,0.11165048543689321
0,0.011494252873563218,0.11165048543689321
0,0.011494252873563218,0.12135922330097088
0,0.013409961685823755,0.12135922330097088
0,0.013409961685823755,0.1553398058252427
0,0.01532567049808429,0.1553398058252427
0,0.01532567049808429,0.1650485436893204
0,0.019157088122605363,0.1650485436893204
0,0.019157088122605363,0.16990291262135923
0,0.0210727969348659,0.16990291262135923
0,0.0210727969348659,0.20388349514563106
0,0.022988505747126436,0.20388349514563106
0,0.022988505747126436,0.2087378640776699
0,0.02681992337164751,0.2087378640776699
0,0.02681992337164751,0.21359223300970873
0,0.028735632183908046,0.21359223300970873
0,0.028735632183908046,0.24757281553398058
0,0.03065134099616858,0.24757281553398058
0,0.03065134099616858,0.2524271844660194
0,0.032567049808429116,0.2524271844660194
0,0.032567049808429116,0.2669902912621359
0,0.034482758620689655,0.2669902912621359
0,0.034482758620689655,0.27184466019417475
0,0.038314176245210725,0.27184466019417475
0,0.038314176245210725,0.2912621359223301
0,0.044061302681992334,0.2912621359223301
0,0.044061302681992334,0.30097087378640774
0,0.04597701149425287,0.30097087378640774
0,0.04597701149425287,0.32038834951456313
0,0.04789272030651341,0.32038834951456313
0,0.04789272030651341,0.3300970873786408
0,0.04980842911877394,0.3300970873786408
0,0.04980842911877394,0.35436893203883496
0,0.05363984674329502,0.35436893203883496
0,0.05363984674329502,0.3592233009708738
0,0.05938697318007663,0.3592233009708738
0,0.05938697318007663,0.3640776699029126
0,0.06704980842911877,0.3640776699029126
0,0.06704980842911877,0.3737864077669903
0,0.07088122605363985,0.3737864077669903
0,0.07088122605363985,0.3786407766990291
0,0.07279693486590039,0.3786407766990291
0,0.07279693486590039,0.38349514563106796
0,0.07471264367816093,0.38349514563106796
0,0.07471264367816093,0.39805825242718446
0,0.07662835249042145,0.39805825242718446
0,0.07662835249042145,0.4029126213592233
0,0.08237547892720307,0.4029126213592233
0,0.08237547892720307,0.4077669902912621
0,0.0842911877394636,0.4077669902912621
0,0.0842911877394636,0.41262135922330095
0,0.08620689655172414,0.41262135922330095
0,0.08620689655172414,0.4174757281553398
0,0.08812260536398467,0.4174757281553398
0,0.08812260536398467,0.42718446601941745
0,0.09003831417624521,0.42718446601941745
0,0.09003831417624521,0.4320388349514563
0,0.09195402298850575,0.4320388349514563
0,0.09195402298850575,0.4368932038834951
0,0.09578544061302682,0.4368932038834951
0,0.09578544061302682,0.441747572815534
0,0.09770114942528736,0.441747572815534
0,0.09770114942528736,0.44660194174757284
0,0.10153256704980843,0.44660194174757284
0,0.10153256704980843,0.45145631067961167
0,0.10727969348659004,0.45145631067961167
0,0.10727969348659004,0.4563106796116505
0,0.10919540229885058,0.4563106796116505
0,0.10919540229885058,0.46116504854368934
0,0.1111111111111111,0.46116504854368934
0,0.1111111111111111,0.46601941747572817
0,0.11302681992337164,0.46601941747572817
0,0.11302681992337164,0.470873786407767
0,0.11877394636015326,0.470873786407767
0,0.11877394636015326,0.47572815533980584
0,0.12452107279693486,0.47572815533980584
0,0.12452107279693486,0.5097087378640777
0,0.12643678160919541,0.5097087378640777
0,0.12643678160919541,0.5194174757281553
0,0.13026819923371646,0.5194174757281553
0,0.13026819923371646,0.5242718446601942
0,0.13218390804597702,0.5242718446601942
0,0.13218390804597702,0.529126213592233
0,0.1360153256704981,0.529126213592233
0,0.1360153256704981,0.5388349514563107
0,0.13984674329501914,0.5388349514563107
0,0.13984674329501914,0.5436893203883495
0,0.14367816091954022,0.5436893203883495
0,0.14367816091954022,0.5485436893203883
0,0.14559386973180077,0.5485436893203883
0,0.14559386973180077,0.5533980582524272
0,0.15900383141762453,0.5533980582524272
0,0.15900383141762453,0.558252427184466
0,0.16666666666666666,0.558252427184466
0,0.16666666666666666,0.5631067961165048
0,0.1685823754789272,0.5631067961165048
0,0.1685823754789272,0.5728155339805825
0,0.1781609195402299,0.5728155339805825
0,0.1781609195402299,0.587378640776699
0,0.18199233716475097,0.587378640776699
0,0.18199233716475097,0.5970873786407767
0,0.1839080459770115,0.5970873786407767
0,0.1839080459770115,0.6116504854368932
0,0.18773946360153257,0.6116504854368932
0,0.18773946360153257,0.616504854368932
0,0.19348659003831417,0.616504854368932
0,0.19348659003831417,0.6213592233009708
0,0.19923371647509577,0.6213592233009708
0,0.19923371647509577,0.6407766990291263
0,0.2049808429118774,0.6407766990291263
0,0.2049808429118774,0.6504854368932039
0,0.21264367816091953,0.6504854368932039
0,0.21264367816091953,0.6553398058252428
0,0.21455938697318008,0.6553398058252428
0,0.21455938697318008,0.6699029126213593
0,0.22413793103448276,0.6699029126213593
0,0.22413793103448276,0.6747572815533981
0,0.22796934865900384,0.6747572815533981
0,0.22796934865900384,0.6796116504854369
0,0.24329501915708812,0.6796116504854369
0,0.24329501915708812,0.6844660194174758
0,0.2471264367816092,0.6844660194174758
0,0.2471264367816092,0.6893203883495146
0,0.2509578544061303,0.6893203883495146
0,0.2509578544061303,0.6990291262135923
0,0.2547892720306513,0.6990291262135923
0,0.2547892720306513,0.7087378640776699
0,0.2567049808429119,0.7087378640776699
0,0.2567049808429119,0.7184466019417476
0,0.26053639846743293,0.7184466019417476
0,0.26053639846743293,0.7233009708737864
0,0.27011494252873564,0.7233009708737864
0,0.27011494252873564,0.7330097087378641
