model,condition,metric,seed_mean
gru_clean,vision_30_front,macro_f1,0.5330683647440876
gru_clean,vision_30_middle,macro_f1,0.5289233004123085
gru_clean,vision_30_back,macro_f1,0.5393128679193436
gru_clean,vision_50_front,macro_f1,0.5290103484970406
gru_clean,vision_50_middle,macro_f1,0.5302197810049796
gru_clean,vision_50_back,macro_f1,0.5365501694424024
gru_aug,vision_10_front,macro_f1,0.5383940931406377
gru_aug,vision_10_middle,macro_f1,0.5374181107556374
gru_aug,vision_10_back,macro_f1,0.5384833492184878
gru_aug,vision_30_front,macro_f1,0.5357373352827067
gru_aug,vision_30_middle,macro_f1,0.5331485754393639
gru_aug,vision_30_back,macro_f1,0.5348503058227932
gru_aug,vision_50_front,macro_f1,0.5344150406573774
gru_aug,vision_50_middle,macro_f1,0.5314657233495961
gru_aug,vision_50_back,macro_f1,0.536720362017382
state_aug,vision_10_front,macro_f1,0.534934549211722
state_aug,vision_10_middle,macro_f1,0.5327532310098363
state_aug,vision_10_back,macro_f1,0.5342826432899928
state_aug,vision_30_front,macro_f1,0.5309585480941466
state_aug,vision_30_middle,macro_f1,0.5299927514932211
state_aug,vision_30_back,macro_f1,0.5306148250126397
state_aug,vision_50_front,macro_f1,0.5263891971215658
state_aug,vision_50_middle,macro_f1,0.5296718710212867
state_aug,vision_50_back,macro_f1,0.5295824594423827
smooth_aug,vision_10_front,macro_f1,0.538256861107826
smooth_aug,vision_10_middle,macro_f1,0.5328771536573872
smooth_aug,vision_10_back,macro_f1,0.5345939500218152
smooth_aug,vision_30_front,macro_f1,0.5312728871744419
smooth_aug,vision_30_middle,macro_f1,0.5328812879652607
smooth_aug,vision_30_back,macro_f1,0.5346869955238421
smooth_aug,vision_50_front,macro_f1,0.5276439938446026
smooth_aug,vision_50_middle,macro_f1,0.5313896533150984
smooth_aug,vision_50_back,macro_f1,0.5360748852790082
