bin,n,mae,accuracy
精确0,184,0.3889326751232147,0.29891304347826086
"(0, 0.5]",147,0.40390974283218384,0.4557823129251701
"(0.5, 1]",198,0.5234397053718567,0.702020202020202
"(1, 2]",163,1.057068943977356,0.8282208588957055
"(2, 3]",36,2.0203850269317627,0.7777777777777778
