polarity,recall,precision
0,1.0,0.28296703296703296
0,1.0,0.2833562585969739
0,1.0,0.2837465564738292
0,1.0,0.28413793103448276
0,1.0,0.2845303867403315
0,1.0,0.28492392807745504
0,1.0,0.2853185595567867
0,1.0,0.2857142857142857
0,1.0,0.2861111111111111
0,1.0,0.2865090403337969
0,1.0,0.28690807799442897
0,1.0,0.28730822873082285
0,1.0,0.2877094972067039
0,1.0,0.2881118881118881
0,1.0,0.28851540616246496
0,1.0,0.28892005610098176
0,1.0,0.2893258426966292
0,1.0,0.28973277074542897
0,1.0,0.29014084507042254
0,1.0,0.29055007052186177
0,1.0,0.2909604519774011
0,1.0,0.2913719943422914
0,1.0,0.29178470254957506
0,1.0,0.29219858156028367
0,1.0,0.29261363636363635
0,1.0,0.2930298719772404
0,1.0,0.2934472934472934
0,1.0,0.29386590584878747
0,1.0,0.29428571428571426
0,1.0,0.2947067238912732
0,1.0,0.29512893982808025
0,1.0,0.29555236728837875
0,1.0,0.2959770114942529
0,1.0,0.29640287769784174
0,1.0,0.2968299711815562
0,1.0,0.2972582972582973
0,1.0,0.2976878612716763
0,1.0,0.2981186685962373
0,1.0,0.2985507246376812
0,1.0,0.29898403483309144
0,1.0,0.29941860465116277
0,1.0,0.29985443959243085
0,1.0,0.30029154518950435
0,1.0,0.3007299270072993
0,1.0,0.30116959064327486
0,1.0,0.30161054172767204
0,1.0,0.3020527859237537
0,1.0,0.302496328928047
0,1.0,0.3029411764705882
0,1.0,0.30338733431516934
0,1.0,0.30383480825958703
0,1.0,0.30428360413589367
0,1.0,0.3047337278106509
0,1.0,0.30518518518518517
0,1.0,0.3056379821958457
0,1.0,0.3060921248142645
0,1.0,0.30654761904761907
0,1.0,0.30700447093889716
0,1.0,0.3074626865671642
0,1.0,0.30792227204783257
0,1.0,0.3083832335329341
0,1.0,0.30884557721139433
0,1.0,0.30930930930930933
0,1.0,0.3097744360902256
0,1.0,0.3102409638554217
0,1.0,0.31070889894419307
0,1.0,0.311178247734139
0,1.0,0.31164901664145234
0,1.0,0.31212121212121213
0,1.0,0.3125948406676783
0,1.0,0.3130699088145897
0,0.9951456310679612,0.3120243531202435
0,0.9902912621359223,0.31097560975609756
0,0.9902912621359223,0.3114503816793893
0,0.9902912621359223,0.3119266055045872
0,0.9902912621359223,0.3124042879019908
0,0.9902912621359223,0.3128834355828221
0,0.9902912621359223,0.31336405529953915
0,0.9902912621359223,0.31384615384615383
0,0.9902912621359223,0.31432973805855163
0,0.9902912621359223,0.3148148148148148
0,0.9902912621359223,0.31530139103554866
0,0.9902912621359223,0.3157894736842105
0,0.9902912621359223,0.31627906976744186
0,0.9902912621359223,0.3167701863354037
0,0.9902912621359223,0.31726283048211507
0,0.9902912621359223,0.3177570093457944
0,0.9902912621359223,0.31825273010920435
0,0.9902912621359223,0.31875
0,0.9902912621359223,0.3192488262910798
0,0.9902912621359223,0.31974921630094044
0,0.9902912621359223,0.3202511773940345
0,0.9902912621359223,0.32075471698113206
0,0.9902912621359223,0.32125984251968503
0,0.9902912621359223,0.3217665615141956
0,0.9902912621359223,0.3222748815165877
0,0.9902912621359223,0.3227848101265823
0,0.9902912621359223,0.3232963549920761
0,0.9902912621359223,0.3238095238095238
0,0.9902912621359223,0.32432432432432434
0,0.9902912621359223,0.3248407643312102
0,0.9902912621359223,0.3253588516746411
0,0.9902912621359223,0.3258785942492013
0,0.9902912621359223,0.3264
0,0.9902912621359223,0.3269230769230769
0,0.9902912621359223,0.3274478330658106
0,0.9902912621359223,0.3279742765273312
0,0.9902912621359223,0.3285024154589372
0,0.9902912621359223,0.32903225806451614
0,0.9902912621359223,0.3295638126009693
0,0.9902912621359223,0.3300970873786408
0,0.9902912621359223,0.33063209076175043
0,0.9902912621359223,0.33116883116883117
0,0.9902912621359223,0.33170731707317075
0,0.9902912621359223,0.3322475570032573
0,0.9902912621359223,0.33278955954323003
0,0.9902912621359223,0.3333333333333333
0,0.9902912621359223,0.33387888707037644
0,0.9902912621359223,0.3344262295081967
0,0.9902912621359223,0.33497536945812806
0,0.9902912621359223,0.3355263157894737
0,0.9902912621359223,0.33607907742998355
0,0.9902912621359223,0.33663366336633666
0,0.9902912621359223,0.3371900826446281
0,0.9902912621359223,0.33774834437086093
0,0.9902912621359223,0.3383084577114428
0,0.9902912621359223,0.3388704318936877
0,0.9902912621359223,0.33943427620632277
0,0.9902912621359223,0.34
0,0.9854368932038835,0.33889816360601
0,0.9854368932038835,0.3394648829431438
0,0.9854368932038835,0.34003350083752093
0,0.9854368932038835,0.34060402684563756
0,0.9854368932038835,0.3411764705882353
0,0.9854368932038835,0.34175084175084175
0,0.9854368932038835,0.342327150084317
0,0.9854368932038835,0.34290540540540543
0,0.9854368932038835,0.34348561759729274
0,0.9805825242718447,0.3423728813559322
0,0.9805825242718447,0.34295415959252973
0,0.9757281553398058,0.34183673469387754
0,0.9757281553398058,0.3424190800681431
0,0.9757281553398058,0.3430034129692833
0,0.9757281553398058,0.3435897435897436
0,0.9757281553398058,0.3441780821917808
0,0.9757281553398058,0.34476843910806176
0,0.9757281553398058,0.34536082474226804
0,0.9757281553398058,0.3459552495697074
0,0.9757281553398058,0.34655172413793106
0,0.9757281553398058,0.3471502590673575
0,0.9757281553398058,0.3477508650519031
0,0.9757281553398058,0.3483535528596187
0,0.9757281553398058,0.3489583333333333
0,0.9757281553398058,0.34956521739130436
0,0.9757281553398058,0.3501742160278746
0,0.9757281553398058,0.3507853403141361
0,0.9757281553398058,0.3513986013986014
0,0.9757281553398058,0.3520140105078809
0,0.9757281553398058,0.3526315789473684
0,0.9757281553398058,0.3532513181019332
0,0.9757281553398058,0.3538732394366197
0,0.970873786407767,0.3527336860670194
0,0.970873786407767,0.35335689045936397
0,0.970873786407767,0.35398230088495575
0,0.970873786407767,0.3546099290780142
0,0.970873786407767,0.3552397868561279
0,0.970873786407767,0.35587188612099646
0,0.970873786407767,0.35650623885918004
0,0.970873786407767,0.35714285714285715
0,0.970873786407767,0.35778175313059035
0,0.970873786407767,0.35842293906810035
0,0.970873786407767,0.3590664272890485
0,0.970873786407767,0.3597122302158273
0,0.970873786407767,0.36036036036036034
0,0.970873786407767,0.36101083032490977
0,0.970873786407767,0.3616636528028933
0,0.970873786407767,0.36231884057971014
0,0.970873786407767,0.3629764065335753
0,0.970873786407767,0.36363636363636365
0,0.970873786407767,0.36429872495446264
0,0.970873786407767,0.36496350364963503
0,0.970873786407767,0.3656307129798903
0,0.970873786407767,0.3663003663003663
0,0.970873786407767,0.3669724770642202
0,0.970873786407767,0.36764705882352944
0,0.970873786407767,0.3683241252302026
0,0.970873786407767,0.36900369003690037
0,0.970873786407767,0.36968576709796674
0,0.970873786407767,0.37037037037037035
0,0.970873786407767,0.37105751391465674
0,0.970873786407767,0.37174721189591076
0,0.970873786407767,0.37243947858473
0,0.970873786407767,0.373134328358209
0,0.970873786407767,0.37383177570093457
0,0.970873786407767,0.37453183520599254
0,0.970873786407767,0.37523452157598497
0,0.970873786407767,0.37593984962406013
0,0.970873786407767,0.3766478342749529
0,0.970873786407767,0.37735849056603776
0,0.970873786407767,0.3780718336483932
0,0.970873786407767,0.3787878787878788
0,0.970873786407767,0.3795066413662239
0,0.970873786407767,0.38022813688212925
0,0.970873786407767,0.38095238095238093
0,0.970873786407767,0.3816793893129771
0,0.970873786407767,0.3824091778202677
0,0.970873786407767,0.3831417624521073
0,0.970873786407767,0.3838771593090211
0,0.970873786407767,0.38461538461538464
0,0.970873786407767,0.3853564547206166
0,0.9660194174757282,0.3841698841698842
0,0.9660194174757282,0.3849129593810445
0,0.9611650485436893,0.38372093023255816
0,0.9611650485436893,0.3844660194174757
0,0.9611650485436893,0.3852140077821012
0,0.9611650485436893,0.38596491228070173
0,0.9611650485436893,0.38671875
0,0.9611650485436893,0.38747553816046965
0,0.9611650485436893,0.38823529411764707
0,0.9611650485436893,0.3889980353634578
0,0.9611650485436893,0.38976377952755903
0,0.9611650485436893,0.3905325443786982
0,0.9611650485436893,0.391304347826087
0,0.9611650485436893,0.3920792079207921
0,0.9611650485436893,0.39285714285714285
0,0.9611650485436893,0.39363817097415504
0,0.9611650485436893,0.3944223107569721
0,0.9611650485436893,0.39520958083832336
0,0.9611650485436893,0.396
0,0.9563106796116505,0.39478957915831664
0,0.9563106796116505,0.39558232931726905
0,0.9563106796116505,0.3963782696177062
0,0.9514563106796117,0.3951612903225806
0,0.9466019417475728,0.3939393939393939
0,0.941747572815534,0.39271255060728744
0,0.941747572815534,0.3935091277890467
0,0.941747572815534,0.3943089430894309
0,0.9368932038834952,0.39307535641547864
0,0.9368932038834952,0.39387755102040817
0,0.9368932038834952,0.3946830265848671
0,0.9368932038834952,0.39549180327868855
0,0.9368932038834952,0.39630390143737165
0,0.9368932038834952,0.39711934156378603
0,0.9368932038834952,0.3979381443298969
0,0.9368932038834952,0.3987603305785124
0,0.9320388349514563,0.39751552795031053
0,0.9271844660194175,0.3962655601659751
0,0.9271844660194175,0.3970893970893971
0,0.9271844660194175,0.39791666666666664
0,0.9271844660194175,0.3987473903966597
0,0.9271844660194175,0.399581589958159
0,0.9271844660194175,0.40041928721174
0,0.9271844660194175,0.4012605042016807
0,0.9271844660194175,0.40210526315789474
0,0.9271844660194175,0.4029535864978903
0,0.9271844660194175,0.40380549682875266
0,0.9271844660194175,0.4046610169491525
0,0.9271844660194175,0.40552016985138006
0,0.9271844660194175,0.40638297872340423
0,0.9223300970873787,0.4051172707889126
0,0.9223300970873787,0.405982905982906
0,0.9223300970873787,0.4068522483940043
0,0.9223300970873787,0.40772532188841204
0,0.9223300970873787,0.40860215053763443
0,0.9174757281553398,0.4073275862068966
0,0.9174757281553398,0.408207343412527
0,0.9174757281553398,0.4090909090909091
0,0.9174757281553398,0.40997830802603036
0,0.9174757281553398,0.4108695652173913
0,0.9174757281553398,0.4117647058823529
0,0.9174757281553398,0.4126637554585153
0,0.9174757281553398,0.4135667396061269
0,0.912621359223301,0.41228070175438597
0,0.9077669902912622,0.41098901098901097
0,0.9077669902912622,0.4118942731277533
0,0.9077669902912622,0.41280353200883
0,0.9077669902912622,0.413716814159292
0,0.9077669902912622,0.4146341463414634
0,0.9077669902912622,0.41555555555555557
0,0.9077669902912622,0.41648106904231624
0,0.9077669902912622,0.4174107142857143
0,0.9077669902912622,0.41834451901565994
0,0.9029126213592233,0.4170403587443946
0,0.9029126213592233,0.41797752808988764
0,0.9029126213592233,0.4189189189189189
0,0.9029126213592233,0.4198645598194131
0,0.9029126213592233,0.42081447963800905
0,0.8980582524271845,0.41950113378684806
0,0.8980582524271845,0.42045454545454547
0,0.8980582524271845,0.4214123006833713
0,0.8980582524271845,0.4223744292237443
0,0.8980582524271845,0.4233409610983982
0,0.8980582524271845,0.4243119266055046
0,0.8932038834951457,0.42298850574712643
0,0.8883495145631068,0.4216589861751152
0,0.883495145631068,0.42032332563510394
0,0.883495145631068,0.4212962962962963
0,0.883495145631068,0.4222737819025522
0,0.8786407766990292,0.42093023255813955
0,0.8737864077669902,0.4195804195804196
0,0.8737864077669902,0.4205607476635514
0,0.8737864077669902,0.4215456674473068
0,0.8737864077669902,0.4225352112676056
0,0.8737864077669902,0.4235294117647059
0,0.8737864077669902,0.42452830188679247
0,0.8689320388349514,0.4231678486997636
0,0.8640776699029126,0.4218009478672986
0,0.8640776699029126,0.42280285035629456
0,0.8640776699029126,0.4238095238095238
0,0.8640776699029126,0.42482100238663484
0,0.8640776699029126,0.4258373205741627
0,0.8592233009708737,0.4244604316546763
0,0.8592233009708737,0.4254807692307692
0,0.8592233009708737,0.42650602409638555
0,0.8592233009708737,0.427536231884058
0,0.8592233009708737,0.42857142857142855
0,0.8592233009708737,0.42961165048543687
0,0.8592233009708737,0.4306569343065693
0,0.8592233009708737,0.4317073170731707
0,0.8543689320388349,0.43031784841075793
0,0.8543689320388349,0.43137254901960786
0,0.8543689320388349,0.43243243243243246
0,0.8543689320388349,0.43349753694581283
0,0.8543689320388349,0.4345679012345679
0,0.8543689320388349,0.43564356435643564
0,0.8495145631067961,0.43424317617866004
0,0.8495145631067961,0.43532338308457713
0,0.8446601941747572,0.4339152119700748
0,0.8446601941747572,0.435
0,0.8446601941747572,0.43609022556390975
0,0.8446601941747572,0.4371859296482412
0,0.8398058252427184,0.4357682619647355
0,0.8398058252427184,0.43686868686868685
0,0.8349514563106796,0.43544303797468353
0,0.8349514563106796,0.4365482233502538
0,0.8349514563106796,0.43765903307888043
0,0.8349514563106796,0.4387755102040816
0,0.8300970873786407,0.4373401534526854
0,0.8300970873786407,0.43846153846153846
0,0.8300970873786407,0.43958868894601544
0,0.8300970873786407,0.44072164948453607
0,0.8300970873786407,0.4418604651162791
0,0.8300970873786407,0.4430051813471503
0,0.8300970873786407,0.44415584415584414
0,0.8300970873786407,0.4453125
0,0.8300970873786407,0.4464751958224543
0,0.8300970873786407,0.4476439790575916
0,0.8300970873786407,0.44881889763779526
0,0.8300970873786407,0.45
0,0.8300970873786407,0.45118733509234826
0,0.8300970873786407,0.4523809523809524
0,0.8300970873786407,0.4535809018567639
0,0.8300970873786407,0.45478723404255317
0,0.8300970873786407,0.456
0,0.8300970873786407,0.4572192513368984
0,0.8300970873786407,0.4584450402144772
0,0.8300970873786407,0.4596774193548387
0,0.8252427184466019,0.4582210242587601
0,0.8252427184466019,0.4594594594594595
0,0.8252427184466019,0.46070460704607047
0,0.8252427184466019,0.46195652173913043
0,0.8252427184466019,0.46321525885558584
0,0.8252427184466019,0.4644808743169399
0,0.8203883495145631,0.46301369863013697
0,0.8155339805825242,0.46153846153846156
0,0.8155339805825242,0.4628099173553719
0,0.8155339805825242,0.46408839779005523
0,0.8155339805825242,0.46537396121883656
0,0.8106796116504854,0.4638888888888889
0,0.8106796116504854,0.46518105849582175
0,0.8106796116504854,0.4664804469273743
0,0.8058252427184466,0.4649859943977591
0,0.8058252427184466,0.46629213483146065
0,0.8058252427184466,0.4676056338028169
0,0.8058252427184466,0.4689265536723164
0,0.8058252427184466,0.4702549575070821
0,0.8058252427184466,0.4715909090909091
0,0.8058252427184466,0.47293447293447294
0,0.8009708737864077,0.4714285714285714
0,0.7961165048543689,0.4699140401146132
0,0.7961165048543689,0.47126436781609193
0,0.7961165048543689,0.47262247838616717
0,0.7912621359223301,0.47109826589595377
0,0.7912621359223301,0.47246376811594204
0,0.7912621359223301,0.4738372093023256
0,0.7864077669902912,0.47230320699708456
0,0.7864077669902912,0.47368421052631576
0,0.7864077669902912,0.4750733137829912
0,0.7864077669902912,0.4764705882352941
0,0.7864077669902912,0.4778761061946903
0,0.7864077669902912,0.47928994082840237
0,0.7815533980582524,0.47774480712166173
0,0.7815533980582524,0.4791666666666667
0,0.7815533980582524,0.48059701492537316
0,0.7815533980582524,0.4820359281437126
0,0.7815533980582524,0.48348348348348347
0,0.7815533980582524,0.48493975903614456
0,0.7815533980582524,0.486404833836858
0,0.7815533980582524,0.48787878787878786
0,0.7815533980582524,0.48936170212765956
0,0.7815533980582524,0.49085365853658536
0,0.7766990291262136,0.4892966360856269
0,0.7766990291262136,0.49079754601226994
0,0.7766990291262136,0.49230769230769234
0,0.7718446601941747,0.49074074074074076
0,0.7718446601941747,0.49226006191950467
0,0.7669902912621359,0.4906832298136646
0,0.7621359223300971,0.48909657320872274
0,0.7621359223300971,0.490625
0,0.7621359223300971,0.49216300940438873
0,0.7572815533980582,0.49056603773584906
0,0.7572815533980582,0.4921135646687697
0,0.7572815533980582,0.4936708860759494
0,0.7524271844660194,0.49206349206349204
0,0.7475728155339806,0.49044585987261147
0,0.7475728155339806,0.49201277955271566
0,0.7475728155339806,0.4935897435897436
0,0.7475728155339806,0.49517684887459806
0,0.7475728155339806,0.4967741935483871
0,0.7475728155339806,0.49838187702265374
0,0.7427184466019418,0.4967532467532468
0,0.7427184466019418,0.498371335504886
0,0.7427184466019418,0.5
0,0.7427184466019418,0.5016393442622951
0,0.7427184466019418,0.5032894736842105
0,0.7427184466019418,0.504950495049505
0,0.7427184466019418,0.5066225165562914
0,0.7427184466019418,0.5083056478405316
0,0.7427184466019418,0.51
0,0.7378640776699029,0.5083612040133779
0,0.7330097087378641,0.5067114093959731
0,0.7330097087378641,0.5084175084175084
0,0.7330097087378641,0.5101351351351351
0,0.7330097087378641,0.511864406779661
0,0.7330097087378641,0.5136054421768708
0,0.7330097087378641,0.515358361774744
0,0.7330097087378641,0.5171232876712328
0,0.7281553398058253,0.5154639175257731
0,0.7233009708737864,0.5137931034482759
0,0.7233009708737864,0.5155709342560554
0,0.7233009708737864,0.5173611111111112
0,0.7233009708737864,0.519163763066202
0,0.7233009708737864,0.5209790209790209
0,0.7233009708737864,0.5228070175438596
