model,registered_predictor_parameters,mean_run_seconds,std_run_seconds,n_runs,device
mlp,16581,14.573495864868164,1.5776503833734823,3,cpu
gru_clean,23493,33.52969606717428,10.284486239124105,3,cpu
gru_aug,23493,26.599810282389324,3.662259997040859,3,cpu
state_aug,18885,33.394100507100426,4.250600833298226,3,cpu
smooth_aug,16581,23.130714178085327,2.689259405776963,3,cpu
