sample_id,modality,absolute_error_change,intensity_change,class_changed
-UacrmKiTn4$_$7,text,0.020756959915161133,0.020756959915161133,False
-qDkUB0GgYY$_$5,text,-0.03592848777770996,0.035928428173065186,False
0utROiKxejc$_$1,text,-0.02180713415145874,-0.02180713415145874,False
0utROiKxejc$_$4,text,-0.15235331654548645,0.15235331654548645,False
0y022OlZ3W0$_$3,text,0.3709355592727661,-0.3709355592727661,False
0y022OlZ3W0$_$5,text,0.12502288818359375,0.12502288818359375,False
0y022OlZ3W0$_$8,text,0.12512484192848206,0.12512481212615967,False
101787$_$11,text,0.5282528400421143,-0.5282528400421143,True
101787$_$13,text,-0.22863984107971191,-0.22863984107971191,False
101787$_$1,text,0.031108587980270386,0.031108587980270386,False
101787$_$5,text,-0.05860340595245361,-0.05860340595245361,False
101787$_$7,text,0.3166937828063965,-0.3166936933994293,False
101787$_$9,text,-0.024262189865112305,0.024262189865112305,False
102408$_$2,text,0.21152901649475098,0.22945082187652588,False
102408$_$5,text,-0.3794717788696289,-0.37947168946266174,False
102408$_$9,text,-0.10235261917114258,-0.10235261917114258,False
102858$_$20,text,-0.2833290100097656,0.28332898020744324,False
102858$_$21,text,-0.2905275821685791,0.2905275821685791,False
102858$_$1,text,-0.2501252293586731,0.2501251995563507,False
102858$_$0,text,-0.20656415820121765,-0.20656415820121765,False
102858$_$4,text,0.21798396110534668,-0.2179839015007019,False
102858$_$6,text,0.2812192440032959,-0.2812191843986511,False
102858$_$10,text,0.34291791915893555,-0.34291794896125793,False
102858$_$17,text,-0.034609317779541016,0.0346093513071537,False
102858$_$19,text,-0.06686410307884216,0.06686410307884216,False
112433$_$10,text,-0.12429952621459961,0.12429952621459961,True
112433$_$3,text,0.05208539962768555,-0.05208539962768555,False
112433$_$7,text,-0.37152427434921265,0.37152427434921265,False
112433$_$6,text,-0.013733983039855957,-0.013733983039855957,False
117tQqLjza4$_$6,text,-0.04728609323501587,-0.04728609323501587,False
11j7EfglCAs$_$2,text,-0.2996683716773987,0.2996683418750763,False
121128$_$10,text,-0.021290302276611328,0.021290361881256104,False
121128$_$1,text,-0.15761709213256836,0.21175244450569153,False
121128$_$0,text,-0.1451161652803421,0.1451161652803421,False
121128$_$5,text,0.20052242279052734,-0.20052257180213928,False
125344$_$0,text,-0.14421796798706055,0.14421796798706055,True
125676$_$0,text,0.10104820132255554,0.10104823112487793,False
125676$_$4,text,0.21450233459472656,-0.21450239419937134,False
128059$_$11,text,0.11508536338806152,-0.11508536338806152,False
128059$_$12,text,-0.1597142219543457,0.15971413254737854,True
128059$_$2,text,0.17051666975021362,0.17051666975021362,False
128059$_$7,text,0.05134198069572449,-0.05134198069572449,False
128059$_$6,text,-0.13470876216888428,0.13470877707004547,False
128059$_$9,text,-0.1110694408416748,0.1110694408416748,False
128763$_$12,text,-0.2485302984714508,-0.2485302984714508,False
128763$_$3,text,-0.09182906150817871,-0.09182906150817871,False
128763$_$2,text,0.14934831857681274,-0.14934831857681274,False
128763$_$5,text,0.06592875719070435,-0.06592875719070435,False
128763$_$7,text,-0.16883909702301025,0.16883909702301025,False
128763$_$8,text,-0.027411580085754395,0.027411580085754395,False
130456$_$11,text,0.3679938316345215,-0.3679940700531006,False
130456$_$3,text,0.30407118797302246,-0.30407124757766724,False
130456$_$5,text,-0.039267927408218384,-0.03926793485879898,False
130456$_$4,text,0.1686788648366928,-0.1686788648366928,False
130456$_$7,text,-0.3032805025577545,0.4442436993122101,False
130456$_$6,text,0.06035017967224121,-0.06035017967224121,False
188343$_$13,text,0.03826761245727539,-0.03826749324798584,False
188343$_$12,text,0.1823939085006714,0.1823939085006714,False
188343$_$5,text,-0.25878387689590454,0.25878387689590454,False
188343$_$9,text,0.11497759819030762,-0.11497771739959717,False
188343$_$8,text,-0.16081511974334717,-0.16081511974334717,False
1HK7Nea0PFo$_$1,text,0.3060120940208435,-0.3060120940208435,False
216097$_$1,text,-0.004112303256988525,-0.004112303256988525,False
216097$_$2,text,0.08954882621765137,-0.08954882621765137,True
216097$_$5,text,-0.005300283432006836,-0.005300290882587433,True
216097$_$4,text,-0.06201387941837311,0.07567092776298523,True
216097$_$7,text,-0.35732078552246094,-0.35732072591781616,False
216097$_$8,text,0.030566930770874023,0.030566811561584473,False
223431$_$11,text,0.07399904727935791,0.07399904727935791,False
223431$_$10,text,0.11678600311279297,0.11678600311279297,False
223431$_$13,text,-0.0646657943725586,-0.06466573476791382,True
223431$_$0,text,-0.29925093054771423,-0.38894209265708923,True
223431$_$5,text,-0.1430303156375885,0.1430303156375885,False
225770$_$3,text,0.1547309160232544,0.1547309309244156,True
225770$_$5,text,-0.1933671236038208,-0.2557828426361084,False
225770$_$4,text,0.12658891081809998,-0.12658891081809998,False
225770$_$6,text,0.13620752096176147,-0.13620752096176147,False
236021$_$12,text,0.02257072925567627,-0.02257075160741806,False
236021$_$1,text,-0.2655874192714691,0.3828026354312897,True
236021$_$3,text,0.05167675018310547,-0.05167675018310547,False
236021$_$2,text,-0.07226075232028961,-0.13723812997341156,False
236021$_$5,text,-0.0622326135635376,0.0622326135635376,False
236021$_$4,text,0.1738494634628296,-0.1738494485616684,True
237009$_$11,text,0.3011906147003174,0.30119064450263977,True
237009$_$12,text,0.12621676921844482,0.12621676921844482,False
237009$_$4,text,-0.13656823337078094,0.19635538756847382,False
237009$_$7,text,0.15264081954956055,0.15264081954956055,False
237009$_$9,text,0.06137418746948242,-0.06137418746948242,False
241629$_$10,text,0.038631975650787354,0.03863191604614258,False
241629$_$0,text,-0.17818641662597656,0.17818641662597656,False
241629$_$3,text,0.09359955787658691,-0.09359961748123169,False
241629$_$5,text,0.12208488583564758,-0.4737990200519562,True
241629$_$8,text,0.09030818939208984,-0.09030818939208984,False
243646$_$11,text,0.216668963432312,-0.216668963432312,False
243646$_$12,text,0.17273616790771484,0.17273616790771484,False
243646$_$9,text,-0.22781197726726532,0.22781197726726532,False
243646$_$8,text,-0.18305575847625732,0.18305575847625732,True
247318$_$12,text,0.3812263011932373,0.3812263011932373,False
247318$_$1,text,0.12669610977172852,0.12669610977172852,False
247318$_$3,text,-0.011172056198120117,-0.011172115802764893,False
247318$_$2,text,-0.051740169525146484,-0.051740288734436035,True
247318$_$5,text,-0.013532757759094238,0.013532757759094238,False
247318$_$7,text,0.14556312561035156,0.14556312561035156,False
247318$_$6,text,-0.040058434009552,-0.06401044130325317,False
252998$_$1,text,-0.10828909277915955,0.10828909277915955,False
252998$_$0,text,-0.09979479759931564,0.09979479759931564,True
252998$_$5,text,-0.0031986236572265625,-0.0031986236572265625,False
252998$_$4,text,0.05019855499267578,-0.05019855499267578,False
252998$_$7,text,0.2394258975982666,-0.2394258975982666,False
252998$_$8,text,-0.24835693836212158,-0.24835699796676636,False
257247$_$10,text,-0.040262818336486816,0.04026287794113159,False
257247$_$12,text,-0.2597142457962036,-0.2597142457962036,False
257247$_$2,text,-0.20251484215259552,-0.2568341791629791,False
258654$_$1,text,-0.14899688959121704,-0.14899688959121704,False
258654$_$3,text,-0.3478337526321411,-0.34783369302749634,False
258654$_$4,text,0.1256456971168518,0.1256456971168518,False
266791$_$24,text,-0.443744957447052,-0.443744957447052,False
266791$_$20,text,-0.10344791412353516,0.10344791412353516,True
266791$_$21,text,0.04909789562225342,0.04909789562225342,False
266791$_$23,text,-0.2211441993713379,-0.22114410996437073,False
266791$_$29,text,-0.37881529331207275,-0.37881535291671753,False
266791$_$3,text,0.3260078430175781,-0.32600778341293335,False
266791$_$5,text,-0.0613710880279541,-0.061371028423309326,False
266791$_$4,text,0.08588731288909912,0.08588729798793793,True
266791$_$6,text,0.0737886130809784,-0.0737886130809784,False
266791$_$8,text,-0.07051753997802734,-0.07051753997802734,False
266791$_$11,text,-0.17749786376953125,0.1774977743625641,True
266791$_$14,text,-0.12465709447860718,-0.12465709447860718,False
270254$_$23,text,0.48409467935562134,0.4840947091579437,False
270254$_$0,text,0.03368104249238968,-0.2570359408855438,False
270254$_$6,text,0.12156015634536743,-0.12156018614768982,True
270254$_$8,text,-0.2522176504135132,-0.2522176504135132,False
270254$_$11,text,-0.22686555981636047,-0.22686555981636047,False
270254$_$14,text,0.27011239528656006,0.27011245489120483,False
270254$_$16,text,-0.02703690528869629,-0.02703690528869629,False
272624$_$10,text,-0.018719375133514404,-0.018719375133514404,False
272624$_$13,text,0.22108590602874756,-0.22108596563339233,False
272624$_$12,text,0.40254920721054077,0.4025491774082184,True
272624$_$16,text,-0.2144426703453064,0.2144426703453064,False
272624$_$18,text,0.16061973571777344,-0.16061976552009583,False
272624$_$2,text,0.3337865471839905,-0.3337865471839905,False
272624$_$6,text,0.12679612636566162,-0.12679612636566162,False
272624$_$9,text,0.11536234617233276,0.11536233127117157,True
272624$_$8,text,0.1468656063079834,0.1468656063079834,False
273539$_$3,text,-0.42325353622436523,-0.4232535660266876,False
273539$_$2,text,-0.01923123002052307,0.01923123002052307,False
273539$_$9,text,0.3453218936920166,0.3453218340873718,False
290546$_$3,text,-0.2390681803226471,0.2390681803226471,False
290546$_$5,text,-0.07222104072570801,-0.07222104072570801,False
290546$_$7,text,-0.3330197334289551,0.3330197334289551,False
290546$_$6,text,0.24672025442123413,0.24672025442123413,False
2S00zYaVrtc$_$10,text,-0.04647421836853027,-0.046474307775497437,True
2S00zYaVrtc$_$12,text,0.0966043472290039,-0.09660428762435913,False
2S00zYaVrtc$_$20,text,-0.10928243398666382,0.10928243398666382,False
2S00zYaVrtc$_$17,text,-0.004237771034240723,-0.004237771034240723,False
2S00zYaVrtc$_$5,text,0.17519664764404297,-0.17519673705101013,False
2S00zYaVrtc$_$4,text,0.26132291555404663,-0.26132291555404663,False
2Xt31_d0XEE$_$2,text,0.502609133720398,-0.5026091933250427,False
31474$_$11,text,-0.030234694480895996,-0.030234724283218384,False
31474$_$14,text,-0.008126974105834961,0.008126974105834961,False
31474$_$0,text,0.31968954205513,-0.31968954205513,True
31474$_$3,text,0.3415445387363434,-0.3415445387363434,False
31474$_$6,text,0.0941166877746582,0.09411662817001343,False
31474$_$9,text,0.4377410411834717,0.4377410411834717,True
31474$_$8,text,0.01214146614074707,-0.01214146614074707,False
32681$_$1,text,0.0606270432472229,-0.0606270432472229,False
32681$_$3,text,-0.20694565773010254,-0.20694559812545776,False
32681$_$5,text,0.046831727027893066,-0.046831727027893066,False
32681$_$6,text,0.2224358320236206,0.2224358320236206,False
33170$_$1,text,-0.11627459526062012,0.11627465486526489,True
33170$_$3,text,0.025562524795532227,0.02556246519088745,False
33170$_$4,text,-0.20568525791168213,-0.20568528771400452,False
3MFNIag0wNE$_$12,text,-0.2514703869819641,-0.2514703571796417,False
3MFNIag0wNE$_$14,text,-0.03244352340698242,-0.03244352340698242,False
3MFNIag0wNE$_$16,text,0.15596416592597961,0.15596416592597961,False
3MFNIag0wNE$_$7,text,0.44048184156417847,0.44048184156417847,False
3V2qm0rw920$_$11,text,-0.044261634349823,0.044261634349823,False
3V2qm0rw920$_$13,text,0.07002794742584229,-0.07002794742584229,False
3V2qm0rw920$_$3,text,-0.00853651762008667,-0.00853651762008667,False
3j94B0pzSVs$_$12,text,0.15934371948242188,-0.15934374928474426,False
3j94B0pzSVs$_$17,text,0.2631354331970215,0.26313552260398865,True
3j94B0pzSVs$_$1,text,-0.015669412910938263,0.015669412910938263,False
3j94B0pzSVs$_$0,text,-0.11394000053405762,-0.11394000053405762,True
4cFeG2ydm9A$_$8,text,-0.09246289730072021,-0.09246289730072021,False
4dV3slGSc60$_$10,text,-0.13779234886169434,0.13779234886169434,False
4dV3slGSc60$_$12,text,-0.02108287811279297,-0.02108287811279297,False
4dV3slGSc60$_$22,text,-0.04250597953796387,0.042505860328674316,False
4dV3slGSc60$_$9,text,0.3319915533065796,-0.3319914937019348,True
4dV3slGSc60$_$8,text,-0.00027245283126831055,0.00027244165539741516,True
50103$_$3,text,-0.12722086906433105,-0.12722086906433105,False
5B0PQx3Ep3k$_$5,text,0.27882158756256104,-0.27882158756256104,False
5O1W39o56gg$_$1,text,0.04138308763504028,0.04138308763504028,False
5O1W39o56gg$_$2,text,0.5517769455909729,-0.5517769455909729,True
5O1W39o56gg$_$9,text,0.4456205368041992,-0.44562050700187683,False
5i6AgQSjXO4$_$3,text,0.0613139271736145,0.0613139271736145,False
5i6AgQSjXO4$_$2,text,0.1114809513092041,0.1114809513092041,False
5i6AgQSjXO4$_$6,text,-0.010905325412750244,-0.010905325412750244,False
5kaCGzjYukM$_$0,text,0.14929789304733276,-0.14929789304733276,False
5kaCGzjYukM$_$3,text,0.2802972197532654,0.2802972197532654,False
5kaCGzjYukM$_$2,text,0.28303244709968567,-0.28303247690200806,False
5kaCGzjYukM$_$5,text,-0.04101729393005371,-0.04101729393005371,False
5kaCGzjYukM$_$7,text,0.37580612301826477,0.3918459713459015,False
6KvG5VbLalY$_$9,text,0.17803223431110382,0.17803223431110382,False
6ZA8I83x-oY$_$0,text,-0.1418965756893158,-0.1418965756893158,False
6ZA8I83x-oY$_$2,text,0.052727699279785156,-0.052727580070495605,False
6hFiTU77Sm0$_$1,text,-0.15233705937862396,-0.15233705937862396,True
6hFiTU77Sm0$_$2,text,0.02385483682155609,-0.28744667768478394,False
6uPGcKTpC4I$_$1,text,0.07363548874855042,0.07363548874855042,False
6uPGcKTpC4I$_$2,text,0.16327835619449615,-0.3366648554801941,True
6uPGcKTpC4I$_$6,text,-0.20631593465805054,0.20631593465805054,False
70280$_$11,text,-0.24591797590255737,-0.2459179162979126,False
70280$_$3,text,-0.014562606811523438,0.014562606811523438,False
70280$_$4,text,0.1845361590385437,-0.1845361590385437,True
70280$_$6,text,0.2872554659843445,0.2872554659843445,True
75RGHaxmUK8$_$3,text,-0.19275972247123718,-0.19275975227355957,False
75RGHaxmUK8$_$5,text,0.02002909779548645,-0.02002909779548645,False
7_K3F-lAv1k$_$2,text,-0.08430419862270355,-0.08430419862270355,False
7r4vRxKLFCA$_$6,text,0.077545166015625,0.07754522562026978,False
80566$_$1,text,0.4006129503250122,0.4006129503250122,False
