model,n_seeds,clean_accuracy_mean,clean_accuracy_std,clean_macro_f1_mean,clean_macro_f1_std,clean_mae_mean,clean_mae_std,clean_pearson_mean,clean_pearson_std,selection_accuracy_mean,selection_accuracy_std,selection_macro_f1_mean,selection_macro_f1_std,selection_mae_mean,selection_mae_std,selection_pearson_mean,selection_pearson_std,grid27_accuracy_mean,grid27_accuracy_std,grid27_macro_f1_mean,grid27_macro_f1_std,grid27_mae_mean,grid27_mae_std,grid27_pearson_mean,grid27_pearson_std
mlp,3,0.5842490842490843,0.005551444896054,0.5415841002047883,0.0140531327221327,0.6668548782666525,0.0025472994872734,0.5411363871502456,0.0008767954830045,0.5796703296703297,0.005957881721462,0.5392003032511941,0.0092338931360133,0.6724305152893066,0.0022917641129449,0.5316315379205171,0.0014792062329777,0.5761599511599512,0.0067782294884518,0.5362163678085325,0.011556665251248,0.6751283900237377,0.0025714768327117,0.5274325909314658,0.0014018843739603
gru_clean,3,0.5750915750915752,0.0173932416787752,0.5345786216837217,0.0084476498665538,0.671200156211853,0.0131319842417675,0.5491706401318828,0.0186922222585235,0.5661630036630038,0.0178318096579131,0.5306183060848461,0.007242933393935,0.6761548817157745,0.0125976034718382,0.5325256501755541,0.0193972716927116,0.5605073938407271,0.0208523381022916,0.5261910232733306,0.0031392420023486,0.6819379506287752,0.0139989546516524,0.5248704239515997,0.0186944145788315
gru_aug,3,0.5856227106227107,0.0080487160399482,0.5356027159608421,0.0117443793095911,0.6584670344988505,0.0048929590222345,0.5481593846754221,0.017240177633036,0.5770375457875457,0.0072550145959207,0.5285189456901166,0.0063810969988955,0.6650685866673788,0.0055000700298867,0.5332813747915649,0.0177242654984458,0.57493894993895,0.0073788118678534,0.5256224513418036,0.0062801559236122,0.6680000630425819,0.0054980546669737,0.5278310044540341,0.0168757611748991
state_aug,3,0.5856227106227107,0.0041964978891536,0.536598917821391,0.0072210972922573,0.6619138717651367,0.0053142835180951,0.5486890239371535,0.0068328317075274,0.5737179487179488,0.0058109158179931,0.5275694079910145,0.0075627294919662,0.671595091621081,0.0062595692150755,0.5320507748849058,0.0089074296781793,0.5728021978021977,0.0066025938168512,0.5272241261555068,0.0067133388789464,0.6747788190841675,0.0067330348811093,0.5276793755459642,0.0092327145544883
smooth_aug,3,0.5815018315018315,0.0015861271131583,0.534267325288531,0.0091430364474806,0.6682520310084025,0.0123075195086054,0.5453658760784267,0.0077971238260408,0.5715430402930403,0.0058915335313451,0.5271294633340377,0.006770249751912,0.6776241312424341,0.0100318881810133,0.5279281047046521,0.0072814508563761,0.5711572378239046,0.0050013909848168,0.5274220178052265,0.0042325671725621,0.6809424264931384,0.0094897260749958,0.5236396875230187,0.0084364626521382
