length_bin,n,accuracy,mae
1—10,83,0.4819277108433735,0.6601822972297668
11—20,257,0.5642023346303502,0.570320188999176
21—30,202,0.5891089108910891,0.7141005992889404
31—40,101,0.6138613861386139,0.6729376912117004
41—50,85,0.6823529411764706,0.7768595814704895
