bin,lower,upper,n,mean_confidence,accuracy
3,0.3,0.4,35,0.37813228368759155,0.37142857142857144
4,0.4,0.5,188,0.4572591483592987,0.39361702127659576
5,0.5,0.6,160,0.5521003603935242,0.50625
6,0.6,0.7,118,0.6499851942062378,0.6186440677966102
7,0.7,0.8,135,0.7476051449775696,0.762962962962963
8,0.8,0.9,77,0.8516703844070435,0.8701298701298701
9,0.9,1.0,15,0.9101055264472961,0.8666666666666667
