model,n_seeds,clean_accuracy_mean,clean_accuracy_std,clean_macro_f1_mean,clean_macro_f1_std,clean_mae_mean,clean_mae_std,clean_pearson_mean,clean_pearson_std,selection_accuracy_mean,selection_accuracy_std,selection_macro_f1_mean,selection_macro_f1_std,selection_mae_mean,selection_mae_std,selection_pearson_mean,selection_pearson_std,grid27_accuracy_mean,grid27_accuracy_std,grid27_macro_f1_mean,grid27_macro_f1_std,grid27_mae_mean,grid27_mae_std,grid27_pearson_mean,grid27_pearson_std
gru_aug,3,0.5856227106227107,0.008048716039948207,0.5356027159608421,0.01174437930959113,0.6584670344988505,0.004892959022234533,0.5481593846754221,0.01724017763303603,0.5770375457875457,0.0072550145959207404,0.5285189456901166,0.006381096998895559,0.6650685866673788,0.005500070029886725,0.5332813747915649,0.017724265498445885,0.57493894993895,0.007378811867853469,0.5256224513418036,0.006280155923612291,0.6680000630425819,0.005498054666973755,0.5278310044540341,0.016875761174899147
gru_clean,3,0.5750915750915752,0.01739324167877526,0.5345786216837217,0.00844764986655389,0.671200156211853,0.013131984241767506,0.5491706401318828,0.01869222225852357,0.5661630036630038,0.017831809657913162,0.5306183060848461,0.007242933393935084,0.6761548817157745,0.012597603471838222,0.5325256501755541,0.019397271692711625,0.5605073938407271,0.02085233810229162,0.5261910232733306,0.0031392420023486803,0.6819379506287752,0.013998954651652473,0.5248704239515997,0.018694414578831583
mlp,3,0.5842490842490843,0.005551444896054075,0.5415841002047883,0.014053132722132761,0.6668548782666525,0.002547299487273489,0.5411363871502456,0.0008767954830045065,0.5796703296703297,0.005957881721462022,0.5392003032511941,0.009233893136013386,0.6724305152893066,0.0022917641129449446,0.5316315379205171,0.0014792062329777279,0.5761599511599512,0.006778229488451887,0.5362163678085325,0.011556665251248079,0.6751283900237377,0.0025714768327117043,0.5274325909314658,0.0014018843739603056
smooth_aug,3,0.5815018315018315,0.0015861271131583068,0.534267325288531,0.009143036447480605,0.6682520310084025,0.012307519508605425,0.5453658760784267,0.007797123826040828,0.5715430402930403,0.005891533531345112,0.5271294633340377,0.006770249751912015,0.6776241312424341,0.010031888181013332,0.5279281047046521,0.007281450856376131,0.5711572378239046,0.005001390984816811,0.5274220178052265,0.004232567172562196,0.6809424264931384,0.009489726074995897,0.5236396875230187,0.00843646265213827
state_aug,3,0.5856227106227107,0.004196497889153685,0.536598917821391,0.007221097292257371,0.6619138717651367,0.005314283518095117,0.5486890239371535,0.00683283170752745,0.5737179487179488,0.005810915817993198,0.5275694079910145,0.007562729491966205,0.671595091621081,0.006259569215075599,0.5320507748849058,0.008907429678179316,0.5728021978021977,0.006602593816851208,0.5272241261555068,0.006713338878946492,0.6747788190841675,0.006733034881109393,0.5276793755459642,0.009232714554488361
state_clean,1,0.5824175824175825,,0.5440462022889319,,0.6583594679832458,,0.5524849700890188,,0.5628434065934066,,0.528588744597735,,0.6717492789030075,,0.5358846072278792,,0.5645095645095646,,0.5315623733910867,,0.6768555243810018,,0.5311209335034769,
state_no_gap,1,0.5810439560439561,,0.5358413326208314,,0.6558964848518372,,0.5554496208050471,,0.5738324175824177,,0.5328908163228734,,0.6654060482978821,,0.5401171755892389,,0.5741758241758242,,0.5343917822420047,,0.6685677590193572,,0.5352204428592227,
state_no_history,1,0.5796703296703297,,0.5412009818782867,,0.6686505079269409,,0.5374089020781851,,0.5741758241758242,,0.5372979670601318,,0.6768634766340256,,0.5211142613543278,,0.5711233211233211,,0.5341196939330158,,0.6808363993962606,,0.5153559529945516,
text,1,0.5934065934065934,,0.5554533767983046,,0.6756865382194519,,0.5310155730505086,,0.5831043956043956,,0.5465935465459089,,0.6823190301656723,,0.5183437908401063,,0.5805860805860805,,0.5449744355706133,,0.6841900635648657,,0.5157698749754076,
