model,seed,condition,accuracy,macro_f1,weighted_f1,mae,pearson
gru_aug,17,clean,0.5796703296703297,0.5484905041455993,0.5749178459784763,0.6610105037689209,0.536321600051216
gru_aug,17,text_10_front,0.5782967032967034,0.5381299822355441,0.5684608346182096,0.6659809350967407,0.524006516806979
gru_aug,17,text_10_middle,0.5714285714285714,0.5357660235767874,0.5624253557190155,0.6700423359870911,0.5208876347752681
gru_aug,17,text_10_back,0.5659340659340659,0.5369845437889735,0.5626384738514303,0.6707485914230347,0.5242264831513085
gru_aug,17,text_30_front,0.554945054945055,0.5026597232342437,0.5358765790875617,0.6976034641265869,0.45458177109848924
gru_aug,17,text_30_middle,0.5508241758241759,0.5042009630217524,0.5345061121079296,0.6922346949577332,0.47003420994304157
gru_aug,17,text_30_back,0.5604395604395604,0.5229155451129719,0.5506596407962204,0.6842097043991089,0.4918251296592182
gru_aug,17,text_50_front,0.5302197802197802,0.45157444894286997,0.4947657605552342,0.724026083946228,0.40050071802314297
gru_aug,17,text_50_middle,0.5151098901098901,0.44772476244432474,0.48744489816309244,0.7230163216590881,0.4045829274530405
gru_aug,17,text_50_back,0.5260989010989011,0.47063588829710284,0.5038445337354583,0.7159399390220642,0.4107257101071664
gru_aug,17,audio_10_front,0.5686813186813187,0.5405124242986975,0.5667176427212536,0.6607086062431335,0.5400644504067407
gru_aug,17,audio_10_middle,0.5810439560439561,0.5525116460600331,0.5784038512592217,0.6571660041809082,0.5411470339392782
gru_aug,17,audio_10_back,0.5741758241758241,0.5441413597778998,0.5696961346364798,0.659065842628479,0.5391100735630332
gru_aug,17,audio_30_front,0.5604395604395604,0.5365068380824666,0.5610249129077219,0.6599255800247192,0.5441508231149217
gru_aug,17,audio_30_middle,0.5755494505494505,0.5465500002218304,0.5740471623836323,0.6544787883758545,0.5466399405578667
gru_aug,17,audio_30_back,0.5714285714285714,0.5437271459189549,0.5690296823297442,0.6583627462387085,0.5432235996947729
gru_aug,17,audio_50_front,0.570054945054945,0.5476566390582721,0.5719407683508398,0.6568313837051392,0.5496775925276082
gru_aug,17,audio_50_middle,0.5741758241758241,0.547242371154661,0.5739420593206097,0.6524311900138855,0.550935030445514
gru_aug,17,audio_50_back,0.5755494505494505,0.5487024849157343,0.574369976494338,0.6593003273010254,0.5443313582010614
gru_aug,17,vision_10_front,0.5824175824175825,0.5498090668266107,0.5764339060998979,0.6610351204872131,0.5365657624546459
gru_aug,17,vision_10_middle,0.5782967032967034,0.5497260164888225,0.5746580691909706,0.661166250705719,0.5355863676632627
gru_aug,17,vision_10_back,0.5796703296703297,0.5499651532873354,0.5753318376104397,0.6615588665008545,0.5359318642566862
gru_aug,17,vision_30_front,0.5810439560439561,0.5507519141297578,0.5763968522685139,0.6600011587142944,0.5365936410195415
gru_aug,17,vision_30_middle,0.5714285714285714,0.5419397558450314,0.568800658901427,0.6614339351654053,0.5344146330094605
gru_aug,17,vision_30_back,0.5865384615384616,0.558850864661272,0.5836693478389104,0.6630004048347473,0.5311667682370859
gru_aug,17,vision_50_front,0.5714285714285714,0.5430409280307799,0.5684905651348144,0.6603028178215027,0.5356779687327182
gru_aug,17,vision_50_middle,0.5782967032967034,0.5501985167626895,0.5758646969284449,0.6609668731689453,0.5333651741261342
gru_aug,17,vision_50_back,0.5782967032967034,0.5515121912918275,0.5770068937943895,0.6640774607658386,0.5278098620565824
gru_aug,17,audio_vision_30_sync,0.570054945054945,0.5464563772088925,0.5724393486048891,0.6532734632492065,0.5479094412861456
gru_aug,17,text_audio_30_sync,0.570054945054945,0.5283373362592666,0.558925178183051,0.6857917308807373,0.48476737120329133
gru_aug,17,audio_vision_30_offset,0.5728021978021978,0.5516332880581524,0.5749361096079928,0.6611353158950806,0.5389861536601136
gru_aug,17,audio_30_two_blocks,0.5673076923076923,0.5435968278097435,0.5681125511394494,0.6608628630638123,0.5420341641378144
gru_aug,29,clean,0.5824175824175825,0.5255038072110132,0.5592420383042738,0.6615644097328186,0.5402174016107021
gru_aug,29,text_10_front,0.5837912087912088,0.5287598956483254,0.5624343387595221,0.6713061928749084,0.5272799457552744
gru_aug,29,text_10_middle,0.5673076923076923,0.5210540725592662,0.5507622547661792,0.6690146327018738,0.5283445597022678
gru_aug,29,text_10_back,0.5645604395604396,0.5114919756868274,0.5446520421672147,0.6738512516021729,0.5249728797108035
gru_aug,29,text_30_front,0.5686813186813187,0.5181821833418602,0.550080055848071,0.6913771033287048,0.4801214576103864
